repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
perplexityai/bumblebee,155,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,3,,,,,,,1
pgrok/pgrok,201,58,47,11,0,11,18.97,14,7,3,4,20,49,125,2,198,749,762,70.7,65.5,1,1,1
ph4ntonn/Stowaway,188,45,32,3,10,13,28.89,28,9,9,10,8,8,8,2,35,770,785,66.7,60.0,1,3,12
phachon/mm-wiki,192,49,4,0,45,45,91.84,34,5,2,27,9,12,52,2,81,835,960,69.4,63.3,0,0,12
photoprism/photoprism,255,112,100,12,0,12,10.71,0,0,0,0,68,95,330,2,789,806,809,74.1,64.3,22,69,81
php/frankenphp,168,25,11,11,3,14,56.00,0,0,0,0,7,51,101,2,161,873,1085,88.0,76.0,70,102,102
pinchtab/pinchtab,197,54,40,6,8,14,25.93,7,5,1,1,11,20,68,2,108,826,995,70.4,64.8,1,1,1
pingcap/tidb,156,13,11,1,1,2,15.38,0,0,0,0,165,187,1114,2,1951,1048,1267,92.3,92.3,316,435,649
pion/webrtc,216,73,41,32,0,32,43.84,22,0,1,21,17,11,34,2,132,734,695,69.9,58.9,80,219,335
playwright-community/playwright-go,159,6,4,0,2,2,33.33,1,0,0,1,8,8,13,2,73,835,862,83.3,83.3,1,1,1
pocketbase/pocketbase,227,84,77,6,1,7,8.33,0,0,0,0,20,20,69,2,124,758,744,70.2,63.1,130,265,265
pomerium/pomerium,163,20,12,0,8,8,40.00,0,0,0,0,140,212,989,2,1820,960,873,95.0,95.0,43,67,151
pressly/goose,235,92,6,86,0,86,93.48,20,0,2,18,19,61,212,2,416,752,785,71.7,64.1,18,50,70
prest/prest,203,60,7,42,11,53,88.33,15,0,2,13,18,33,62,2,152,825,874,75.0,65.0,16,37,61
probelabs/goreplay,234,91,50,41,0,41,45.05,33,2,2,29,12,59,120,2,354,895,1030,75.8,69.2,1,10,51
Project-HAMi/HAMi,204,61,50,10,1,11,18.03,0,0,0,0,34,56,276,2,369,996,1267,85.2,77.0,19,51,51
